time,current[mA],RANGE1[V],RANGE2[V],RANGE3[V],RANGE4[V],24bit[bin]
9:49:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732837
9:49:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732845
9:49:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732862
9:49:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732895
9:50:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732869
9:50:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732867
9:50:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732850
9:50:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
9:50:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
9:50:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
9:51:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
9:51:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
9:51:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
9:51:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732857
9:51:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732885
9:51:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
9:52:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732871
9:52:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732861
9:52:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732875
9:52:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732866
9:52:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732855
9:52:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732877
9:53:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
9:53:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732882
9:53:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732890
9:53:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732875
9:53:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732881
9:53:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
9:54:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732847
9:54:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
9:54:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
9:54:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732875
9:54:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732874
9:54:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
9:55:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732864
9:55:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732840
9:55:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
9:55:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732848
9:55:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732845
9:55:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
9:56:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
9:56:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732843
9:56:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
9:56:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
9:56:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732844
9:56:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732837
9:57:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732868
9:57:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732850
9:57:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732850
9:57:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732854
9:57:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732830
9:57:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732830
9:58:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732845
9:58:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732852
9:58:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
9:58:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732836
9:58:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732833
9:58:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732880
9:59:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732889
9:59:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732904
9:59:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732835
9:59:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
9:59:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732863
9:59:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732872
10:00:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732845
10:00:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732880
10:00:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732869
10:00:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732865
10:00:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:00:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:01:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732849
10:01:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:01:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:01:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:01:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732847
10:01:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732833
10:02:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732835
10:02:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732818
10:02:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732820
10:02:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732827
10:02:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:02:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732853
10:03:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732856
10:03:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:03:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732873
10:03:39,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:03:49,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732892
10:03:59,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732888
10:04:09,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732841
10:04:19,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732870
10:04:29,0.009,4.40E-01,4.41E+00,5.66E+00,5.65E+00,732860
